pair_id,condition,similarity_score,match_quality,zero_shot_output,grounded_output,zero_factual,grounded_factual,zero_hallucination,grounded_hallucination,factual_gain,halluc_reduction
P00889,skin_rash,0.5651,high,"Arre bhai, aapka rash ek common condition hai, lekin iska kuchh karan ho sakta hai. Aapke symptoms, jaise ki fever aur lethargy, aapki immunity system ko kamzor kar sakte hain, aur isse rash aata hai. Lekin ismein koi serious karan nahin hai, aapko thoda time aur rest lena chahiye, aur agar rash badhne ki shuruat ho, to mujhe pata chalne par aapko doctor se milna hoga.","Bachche, aapke symptoms aur rash ka description kuch aisa hai jo ecthyma gangrenosum jaisa lagta hai, lekin iska diagnosis tootne ke liye aur test ki jarurat hai. Aapke rash ko pimple-like rash ke roop mein describe kiya gaya hai, lekin clinical evidence mein yeh nahi diya gaya hai ki rash pimple-like hota hai. Humein chinta hai ki aapko high-grade fever aur generalized body rashes the, jo ecthyma gangrenosum ke symptoms hain.",1.0,1.0,0.0,0.0,0.0,0.0
P00890,skin_growth,0.4892,medium,"Beta, main aapko thoda sa shanti deta hoon. Penis par ek growth hone ki sambhavana hai, lekin yeh herpes ya koi aur bimari nahi hai. Yeh sambhav hai ki yeh ek benign growth ho, jaise ki seborrheic keratosis ya genital wart, jo sex ke dauraan labia mein irritation pahuncha sakte hain. Main aapko ek specialist se milne ki salah deta hoon, jisse vah aapki cheez ko dekhkar aapko sahi tareeke se treatment karwa sakte hain.","Bhaiya, maine aapki complaint suni hai. Lekin, maine aapke case ka reference liya hai, jismein aapke boyfriend ke penis par growth ki baat nahi hai. Aapke case mein, aapke lower lip par ek growth hai, jiska naam Intraductal papilloma hai. Iska koi connection aapke boyfriend ke penis par growth se nahi hai. Iske liye, aapko doctor se baat karna hoga.",0.5,1.0,0.5,0.0,0.5,0.5
P00896,edema,0.5943,high,"Arre bhai, tumhare symptoms bahut hi ghatiya hain. Main sochta hoon ki tumhare IV insertion site mein koi complication ho sakti hai. Yeh possible hai ki tumhare mein IV insertion ke baad phlebitis ho gayi ho, jisse tumhare vein hard ho gaye hain aur skin ke neeche rolling sensation ho rahi hai. Iske alawa, tumhare hand ke upar ke hisse mein itch karne ka reason bhi phlebitis ho sakta hai. Main aapko ek doctor se milne ke liye kahaunga, jisse aapka proper diagnosis aur treatment ho sakta hai.","Bhai, maine dekha hai ki tumhari left hand ke beech mein IV lagayi gayi thi, aur ab tumhein yeh samajh mein aaya hai ki IV insertion site hard ho gayi hai aur tumhein yeh lagta hai ki yeh skin ke neeche rolling around kar rahi hai. Yeh possible hai ki IV insertion site mein thrombosis ho gaya ho, jisse tumhein dard aur itch hone lag gayi ho.",1.0,1.0,0.0,0.0,0.0,0.0
P00899,swollen_eye,0.4116,medium,"Arre bhai, main tumhare symptoms ko sunkar thoda worried hoon. Aapke aankhon, kaano aur chin area mein khujli hona aur aaj private area mein bhi khuj rahi hai, yeh bahut hi unusual symptoms hain. Main aapko ek dermatologist ya skin specialist se milne ki salah dunga, kyonki yeh symptoms skin-related ho sakte hain. Aapko koi allergy ya infection ho sakti hai, isliye ek specialist se baat karna zaroori hai.","Arre bhai, main tumhari baat samajh gaya hoon. Lekin mujhe kuchh cheezon ka pata nahi hai. Tumhara EMZL hai, jo ek prakaar ki lymphoma hai. Iska matlab hai ki tumhare aankhon mein kuchh galat cheez hai, jo tumhare chehre ke khujlane ka karan hai. Mujhe kuchh aur symptoms nahi pata jo tumhare EMZL ke saath judhe huye hain. Hum tumhare EMZL ka treatment karne ke liye ek plan banayenge, lekin humein pata nahi hai ki kya tumhare khujlane ka karan EMZL hai ya nahi. Hum iske liye test aur examination karne ke liye hain.",0.0,0.25,1.0,0.0,0.25,1.0
P00903,lip_swelling,0.3879,medium,"Arre beta, maine suna ki aapki gaal ke andar ek hafte pehle rough ho gayi thi, aur ab thoda sujan aa gaya hai. Ismein kuchh cheezon ka samay ho sakta hai. Ek sambhavna yeh hai ki aap dono mein oral lichen planus ho sakta hai, jo ek autoimmune disease hai. Ismein gaal ke andar roughness aur lal daag aate hain. Main aapko ek specialist doctor ke paas bhejne ke liye kahaunga.","Bachche, aapke gaal ke andar ka bhag ek hafte pehle sandpaper jaise rough ho gaya tha, lekin abhi dusre din aapke gaal ke andar thoda sa sujan aa gaya hai aur us par lal daag hain. Iske liye humein kuchh naya evidence chahiye, lekin aapke case note mein kuchh cheezein likhi hain. Aapke gaal ke andar ek odontogenic fibromyxoma hai, jo ek prakaar ka cancer hai. Iska hisaab lagaane ke liye humein aur test aur examination ki zaroorat hai.",0.25,0.0,0.0,1.0,-0.25,-1.0
P00907,skin_rash,0.4594,medium,"Bilkul, main samajh gaya. Aapka vartaman condition, jisse aapko upar ke jangho mein khujli aur laal rang ka rash ho raha hai, yeh ek common problem hai. Lekin, aapke symptoms aur aapne khane ki cheezon se trigger hone ki baat dekhiye, yeh kuch aur bhi ho sakta hai. Main aapko ek dermatologist ke paas bhejne ki salah deta hoon, jisse hum aapke symptoms ko aur vishleshan kar sakte hain aur aapko sahi treatment diya ja sakta hai.","Arre bhai, main dekh raha hoon ki tumhare paas kuchh rash hai, jo khujli karti hai aur laal aur sujh jati hai. Ye rash tumhare jangho, trunk, face, scalp, aur paunch par dikh raha hai. Tumhare symptoms burning, itchy, aur painful to touch ho rahe hain, aur tumhe fever, frequent cough, aur joint stiffness bhi ho raha hai. 

Main dekh raha hoon ki tumhare Lyme serology test positive hai, isliye mujhe lagta hai ki tumhare paas Lyme disease ho sakta hai. Ye ek bacterial infection hai jo tick bite se hota hai.",1.0,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333
P00911,skin_rash,0.5177,high,"Arre bhai, aapki chinta theek hai. Lekin, e-coli ke liye test karwane ki zaroorat nahi hai. Agar uski symptoms food allergic reaction ke liye match karti hain, to medrol pack uske liye behtar hai. Abhi uski condition mein joint stiffness aur weakness hai, jo food allergic reaction ke side effects ho sakte hain.","Bilkul, main dekh raha hoon. Lekin, aapki wife ki condition se judi baat hai. Woh situs inversus totalis aur acute cholecystitis ke saath hai. Isliye, uske abdominal pain aur jaundice ke liye e-coli ki koi shankya nahin hai. Uska PCP ne food allergic reaction ka diagnosis diya hai, jisse uski rash, joint stiffness aur weakness ho sakti hai. Abhi uske abdominal pain ya diarrhea nahin hai, to e-coli ke liye test karwana zaroori nahin hai.",0.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
P00912,neck_swelling,0.5094,high,"Bilkul, main aapki madad karoonga. Aapke symptoms bahut hi ghatiya hain. Pichle 2 saalon se il hone ka matlab hai ki aapko ek chronic condition ho sakta hai. Red rash aur swollen glands neck mein kaaran ho sakta hai thyroid problem, jaise ki hypothyroidism. Aapko thyroid test karwane ki zaroorat hai. Main aapko ek specialist se milwane ki salah deta hoon.","Arre bhai, main dekh raha hoon tumhare clinical findings. Tumhare paas cancer of left breast, Graves' disease, aur severe aplastic anemia (AA) hai, jo MMI se hai. Tumhare symptoms mein general malaise, weight loss, lump in left breast, sudden fever, sore throat, chills, aur general malaise shamil hain. 

Tumhare clinical signs mein high fever, sinus tachycardia, grade II systolic murmur, exophthalmos, moderate diffuse goiter, gingival bleeding, anemic palpebral conjunctiva, aur tonsillitis shamil hain. 

Main tumhare symptoms aur clinical signs ke liye kuchh cheezon par dhyan de raha hoon. Tumhare neck par ek red scaley rash aati hai aur jati hai, jisse tumhare neck par swelling ho rahi hai. Yeh symptoms tumhare Graves' disease ke sath jud sakte hain.",0.6666666666666666,0.8571428571428571,0.3333333333333333,0.1428571428571428,0.1904761904761904,0.1904761904761904
P00913,swollen_tonsils,0.4762,medium,"Arre beta, Tetanus ek bacterial infection hai jo skin mein ho sakti hai. Sperm se Tetanus contract nahi hota hai, isliye aapko iske liye chinta nahin karni chahiye. Lekin, aapke throat ki sujan aur swallow karna mushkil ho raha hai, ismein kuchh aur bhi ho sakta hai. Main aapko ek ENT specialist ke paas bhejne ki salah dunga, woh aapki throat ki cheezon ko dekhkar aapko batayenge ki aapke tonsils ka removal ki zaroorat hai ya nahin.","Arre beta, maine dekha hai ki aapka boyfriend ko Tetanus ka diagnosis hua hai, lekin aapki vartaman condition mein koi Tetanus ka lakshan nahin hai. Aapki throat suj gayi hai aur aapko swallow karna difficult ho raha hai, lekin yeh symptoms aapke horrible tonsils ke karan ho sakte hain. Aapke boyfriend ko Tetanus hua hai, lekin aapko isse contract karne ki koi sambhavana nahin hai.",0.0,0.0,1.0,1.0,0.0,0.0
P00914,swollen_tonsils,0.428,medium,"Arre bhai, main samajh gaya. Lymph node ka dard aur sujan antibiotics se theek nahi ho raha hai, toh yeh thoda chintit hai. Lekin humein yeh bhi yaad rakhna hai ki lymphoma ke liye needle biopsy ka parinaam bhi theek nahi aaya. Isliye, hatake se pehle humein yeh check karne ki zaroorat hai ki kya lymph node mein koi infection hai ya koi anya problem hai. Hum ek aur biopsy ya test kar sakte hain jisse humein pata chalega ki kya hua hai.","Arre bhai, main tumhein yeh batata hoon ki aapke pati ke case mein kuchh cheezein hain jo main dekh sakta hoon. Unke paas chemical burn hai, jo unke right foot, hallux, 2nd, 3rd digits, aur dorsum par hai. Yeh ghatna lagbhag 5 ghante pehle hui thi, jab unhone kuchh chemical ki wajah se injuri hui thi. Unke symptoms mein severe burning sensation, pain, desquamation, redness, aur oozing shaamil hai. 

Main yeh nahi dekh sakta ki kya in ghatnaon ke baad lymph node suj gaya hai ya nahi, kyunki yeh information nahi di gayi hai. Lekin main yeh batata hoon ki antibiotics ke istemal ke baad bhi unke dard aur sujan theek nahi ho rahe the, jisse lymphoma ki sambhavana badh jati hai.",0.5,0.6666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.1666666666666666
P00917,swollen_tonsils,0.5487,high,"Bhai, aapke case mein kuchh ghatnaon ka dhyan rakhna zaroori hai. Jab aapko pehle wala strep infection hua tha, to aapko antibiotics milte the, lekin ab aapko lagbhag 5 saal pehle se koi infection nahi hui hai. Lekin aapne right tonsil par ek safed/grey spot notice kiya tha, jo ab purple/black color mein badal gaya hai. Yeh kuchh anormal hai, isliye humein aapko ek specialist ke paas refer karne ki zaroorat hai. Smoking aapke case mein ek factor ho sakta hai, lekin isse pehle humein aapke tonsil ke liye ek check-up karne ki zaroorat hai.","Bachchon ki dhadkan, maine suna hai ki aapke paas ek kuchh anjaan cheez hai jiska aapko laga hai ki woh aapke gale mein wala hai. Main aapko batana chahta hoon ki aapke paas ek leech hai, jo aapke gale ke andar hai. Iska karan aapne pani ki chot se hai, jo aapne ek local spring se liya tha. Yeh leech aapke gale ke andar hai, jisse aapko nasal bleeding, blood-stained saliva, aur throat mein wiggling object ka anubhav ho raha hai.",0.6666666666666666,0.25,0.3333333333333333,0.0,-0.4166666666666666,0.3333333333333333
P00919,swollen_tonsils,0.5318,high,"Arre bhai, yeh symptoms bahut samajhne mein aaye hain. Yeh dry/burnt tongue aur swollen tonsils ke symptoms throat infection ya tonsillitis ke liye lagbhag hain. Aur yeh sinus infections aur stomach pains ke symptoms digestive system ke samasyaon ya gastroenteritis ke liye bhi lagbhag hain. Iske alawa, yeh sharp pains left side of abdomen ke symptoms kidney stone ya appendicitis ke liye bhi lagbhag hain. Lekin, mujhe to aapko doctor ke paas jaana hoga, vah aapki symptoms ko aur vishleshan karke aapki problem ka theek tareeke se treatment karwa sakte hain.","Bhai, main aapko kuchh vishayon par aapka jawab de sakta hoon. Aapke symptoms mein dry/burnt tongue, swollen tonsils, aur sharp pains left side of abdomen hai. Lekin, aapke symptoms aur clinical signs ke hisaab se, main aapko yeh keh sakta hoon ki aapke paas deep parotid lobe sialocele hai, jo aapke oropharyngeal airway ko mass effect deta hai. Iske alawa, aapke symptoms mein odynophagia (painful swallowing) aur difficulty swallowing hai, jo sialocele ke karan ho sakta hai.",1.0,1.0,0.0,0.0,0.0,0.0
P00921,swollen_eye,0.5292,high,"Arre beta, aapki baat suni. Ye symptoms bahut ghatiya hain. Main sochta hoon ki aapko koi infection ho sakti hai, jaise ki herpes zoster ya mukh mein cyst ho sakta hai. Iske liye main aapko ek dermatologist ya ENT specialist se milne ki salah deta hoon. Unke paas aapko proper checkup karwaaya ja sakta hai aur treatment kiya ja sakta hai.","Bhai, aapka case bahut hi kamjor hai. Aapke paas plexiform neurofibromatosis hai, jo ek aisa cancer hai jiska upchar bahut mushkil hota hai. Aapke ganthe bahut suj gaye hain aur unke beech mein ek dark center hai, jo ek bada problem hai. Aapki right eye mein thodi dard hai aur aapka right ear bhi dard kar raha hai. 

Main aapko kuchh sujhane wala nahi hoon, kyunki aapka case bahut hi kamjor hai aur aapko specialist doctor se milna hoga. Aapko apne doctor se baat karni chahiye aur unhein apne symptoms aur symptoms ke baare mein batani chahiye.",0.0,0.0,1.0,1.0,0.0,0.0
P00925,skin_rash,0.5492,high,"Arre bhai, aapke symptoms bahut hi ghatiya hain. Bukhar aur bhari hui sar ki problem ke saath sath hypertension ki feeling bhi aati hai, yeh bahut hi chinta ka vishay hai. Main aapko kahaunga ki aapko is samay thoda relax karna chahiye aur koi bhi medicine bina doctor ki salah ke nahin lena chahiye. Aapko phir se doctor se milne ki zaroorat hai, unhe aapke symptoms aur medicine ke baare mein batayein aur unka mulaaka karein.","Bhai, aapke symptoms bahut hi kamzor hain. Aapke paas transient right hemiplegia hai, jiska matlab hai aapke right upper aur lower limbs mein kamzori hai. Aapke paas left occipital pain, left parietal headache, aur fatigue bhi hai. 

Aapke doctor ne aapko MACPOD-O 200mg aur Sumo Cold diya hai, lekin yeh symptoms aapke transient right hemiplegia ke sath judne ke liye nahi hain. Aapke paas hypertension ki feeling hai, lekin ismein koi clinical evidence nahi hai. 

Main aapko kahaunga ki aapko apne doctor se milne ki zaroorat hai, aur ve aapke symptoms ke liye behtar treatment decide kar sakte hain.",0.25,1.0,0.0,0.0,0.75,0.0
P00929,skin_rash,0.4356,medium,"Kutte ki kaatne ke baad aapke haath mein dard aur chhinne ka dikhawa hai, lekin chhaati mein koi nazar nahi aaya. Yeh ek normal reaction hai. Ek chhota sa rom chhodna bhi normal hai. Lekin, yeh bhi sambhav hai ki kutte ki kaatne ke karan koi infection ho gayi ho.

Aapko rash ke baare mein doctor se milna chahiye. Rash kuchh infection, allergy ya kutte ki kaatne ke karan hone wali reaction ko indicate kar sakta hai. Doctor aapko rash ke liye check karega aur aapko suitable treatment diya jayega.","Bachche, tumhare case mein koi rash ya allergy ka jikr nahin hai. Isliye, main koi rash ke baare mein kuch nahin keh sakta. Hamaare case ke clinical signs aur symptoms ke anusar, tumhare condition ka kendra hai left lacrimal sac area mein B-cell non-Hodgkin lymphoma (MALT type).",0.6666666666666666,0.5,0.3333333333333333,0.5,-0.1666666666666666,-0.1666666666666666
P00932,skin_rash,0.3407,low,"Arre beta, main tumhein sun raha hoon. Ye to possible hai ki aapke urinary tract mein infection ho gaya hai, jisse ye symptoms aaye hain. Ye infection kaafi common hai aur ye kisi bhi tarah ka ho sakta hai, jaise ki UTI (Urinary Tract Infection) ya yeast infection. 

Main tumhein ek solution suggest kar sakta hoon. Aapko pehle apne doctor se milna chahiye aur unhein apne symptoms ke bare mein batana chahiye. Unhone aapko ek treatment prescribe kar sakte hain, jo aapke symptoms ko control kar sakta hai. 

Aapko apne girlfriend ke symptoms ke bare mein bhi doctor se milna chahiye. Ye possible hai ki unhein bhi koi infection ho gaya ho. Doctor aap dono ko ek saath treatment kar sakte hain, jisse aap dono ko ek khush rehne wali life jeene mein madad milegi.","Bhai, main aapko yeh batana chahta hoon ki aapke symptoms aur clinical signs gastrocolic fistula (GCF) ke karan ho sakte hain. Aapke symptoms anorexia, nausea, vomiting, diarrhea, abdominal cramps, aur weight loss hai, jo GCF ke symptoms hai. 

Mujhe aapke urinary tract ke symptoms ke bare mein pata nahi hai, kyunki clinical evidence mein kuch bhi nahi hai. Lekin aapke symptoms aur clinical signs GCF ke karan ho sakte hain. 

Mujhe aapke girlfriend ke symptoms ke bare mein bhi pata nahi hai, kyunki clinical evidence mein kuch bhi nahi hai. Lekin aap dono ko ek hi doctor se treatment karwana chahiye.",1.0,0.25,0.0,0.0,-0.75,0.0
P00933,mouth_ulcers,0.4953,medium,"Arre bhai, main samajh gaya. Aapke symptoms bahut complex hain. Lekin main aapko ek cheez keh sakta hoon, aapke symptoms oral thrush ka anuroop hain, jo ek fungal infection hai. Ye infection antibiotics ke baad ho sakti hai. Main aapko ek prescription di sakta hoon jo aapke symptoms ko theek karne mein madad karega. Lekin humein pehle ek biopsy karwana hoga taaki hum sure hokar kheen saken ki aapke saath kya problem hai.","Bachche, main sun raha hoon. Tumhare symptoms aur history ke anusaar, main kuchh cheezein bat sakta hoon. Tumhare paas ek tick bite ki wajah se target lesion hai, aur aapne oral doxycycline liya tha. Ye doxycycline ka treatment tick-borne pathogen ke liye diya jata hai, lekin Lyme disease ke liye serological markers negative the. 

Aapke symptoms, jaise ki mooh mein film ka ehsaas, jeebh numbish, safed rang ki aur peechwre hisso mein laal daag, khana sahi tarike se taste nahi hota, aur namkeen cheezein khaane se ulcers ho jaate hain, inhein oral yeast infection ke symptoms ke roop mein dekhna chahiye. 

Main aapko confirm kar sakta hoon ki aapke paas oral yeast infection hai, lekin main koi bhi treatment ya diagnosis confirm nahin kar sakta. Aapko oral surgeon ki salah di gayi hai, jisse aapko aur visheshagya ki salah milegi.",0.5,0.6666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.1666666666666666
P00934,neck_swelling,0.4848,medium,"Bachchi ki symptoms bahut serious lag rahi hain. Mere khayal se, yeh throat infection ya tonsillitis ho sakta hai. Jab bhi bachche ko throat mein dard, sujan, aur lymphnode mein ubharne ki shuruat hoti hai, toh isse infection ka karan lagta hai. Hum zaroori medical checkup karwane ki zaroorat hai.","Beti ji, tumhare case mein kuchh galat hai. Tumhare naak ke andar ek bada tumor hai, jo tumhare right nasal cavity ko bhar raha hai. Iske alawa, tumhare right orbit bhi khatre mein hai. Tumhare symptoms, jaise ki nasal obstruction, anosmia aur hearing loss, inka karan yeh tumor hai. 

Ab tumhare baare mein kuchh naya nahi hai, jo is case se juda hai. Tumhare left lymphnode aur hawa ki nali ke baare mein kuchh nahi diya gaya hai, isliye humein kuchh bhi nahi pata hai.",0.0,1.0,1.0,0.0,1.0,1.0
P00935,eye_inflammation,0.4887,medium,"Bhai, aapke symptoms bahut interesting hain. Aapke sir dard, garmi, aur aankhon mein dard kaafi common symptoms hain, lekin aapke screen dekhte waqt thakne ka bahut hi important point hai. Yeh symptoms neck strain, migrane, ya even computer vision syndrome ke symptoms ho sakte hain, lekin glandular fever ka connection bhi ho sakta hai. Main aapko ek specialist doctor ke paas le jana chahunga, woh aapke symptoms ka proper diagnosis kar sakte hain.","Bhai, main dekh raha hoon ki tumhare symptoms bahut hi serious hain. Tumhare head mein dard, aankhon mein dard, aur tumhara dhyan dena mushkil hai. Ye sab symptoms mucormycosis ke symptoms hain, jo tumhare MRI scan mein bhi dikhaya gaya hai. Tumhare brain mein signal change aur edema hai, jo bahut hi serious hai. Main tumhe bata sakta hoon ki tumhare case mein mucormycosis ka diagnosis kiya gaya hai, aur iska treatment zaroori hai.",0.0,1.0,1.0,0.0,1.0,1.0
P00936,swollen_tonsils,0.5667,high,"Arre beti, main aapko samajh sakta hoon. Staph infection bahut jaldi spread ho sakta hai, isliye aapko chinta nahi karna chahiye. 36 ghante se Bactrim le rahi hain, lekin abhi tak sudhaar nahi hai, to hamein doctor se baat karni chahiye. Aapko koi aur antibiotic ke liye checkup karwana hoga, jisse infection thoda sa pehle se ho sakta hai.","Arre, 49 saal ki mahila, tumhare tonsils par staph infection hai, lekin tumhara vartaman sthiti kya hai? Tumhara BP, heart rate, respiratory rate, aur O2 saturation kya hai? Abhi tak koi clinical signs ya symptoms tumhare paas nahi hai jo MSA jaise bimari ke liye darshayein. Tumhara swasthya aur active rehta hai, isliye tumhara sthiti thodi thodi sudhaar hone ke liye ummeed hai.",0.0,0.0,1.0,1.0,0.0,0.0
P00939,lip_swelling,0.386,medium,"Arre beta, main tumhein theek se sun raha hoon. Aapka sujan aur lip par laal spot ka ehsaas kya ho sakta hai? Yeh kuch viral infection ho sakti hai, jaise herpes labialis ya viral fever. Iske alawa, aapne vodka peena bhi is condition ko badhava diya ho sakta hai, kyunki yeh aapke immune system ko kamjor kar sakta hai. Main aapko ek doctor ke paas le jana chaahta hoon, woh aapki check-up karke sahi treatment diya payenge.","Arre beta, maine suna hai tumhare muh mein sujan hai, aur tumne kal raat vodka peeti thi. Lekin, main aapko batana chahta hoon ki clinical evidence mein koi jaankari nahin hai ki vodka peena aapke sujan ke liye kaaran hai. 

Aapke case mein, gingival swelling hai, jiska biopsy karne se pata chala hai ki yeh ek nodular formation hai jismein lymphocytes, plasma cells, eosinophilic polymorphonuclears, aur macrophages hain. Iska matlab yeh hai ki aapke sujan ka karan aapke gingival swelling se juda hua ho sakta hai. 

Main aapko batana chahta hoon ki aapke boyfriend ke saath ki ghatna ko lekar aapke sujan ke liye koi sambandh nahin hai, kyunki clinical evidence mein koi jaankari nahin hai.",0.0,1.0,1.0,0.0,1.0,1.0
P00941,swollen_eye,0.4944,medium,"Ryan bhai, main aapko shanti de raha hoon. Aapke kutte ne aapko kaat liya hai, isse rabies ke liye risk ho sakta hai. Aapko zaroori hai ki aap apne doctor se phir se milen aur rabies ke liye vaccine lene ke liye koi nishkarsh nikale. Aapko apne aankhon ko band karke 10-15 minute tak dhyan se dekhna chahiye, agar aapko koi chot ya dard dikh raha hai to aapko apne doctor se phir se milna hoga.","Arre bhai, maine dekha hai ki tumhare paas choriocarcinoma hai, jo ek prakaar ki cancer hai. Yeh tumhare right adrenal gland mein hai. Tumhare symptoms abdominal pain aur bloating hai. 

Maine dekha hai ki tumhari aankhon mein proptosis hai, jo ek clinical sign hai. Iske alawa, tumhare paas ek well-healed scar hai lower neck mein, jo tumhare thyroidectomy ke liye hai. 

Main kuch bhi nahi keh sakta ki tumhe anti-rabies vaccine lagaya gaya tha ya nahi, kyunki yeh clinical evidence mein nahi diya gaya hai.",0.25,1.0,0.0,0.0,0.75,0.0
P00945,dry_scalp,0.4282,medium,"Namaste beta, maine suna hai aapke paas candida overgrowth aur khujli ka samasya hai. Ye sab kuchh ho sakta hai isliye ki aapke digestive system mein imbalance hai. Aapko apne IBS ke liye probiotics khane chahiye, jisse aapke gut mein healthy bacteria badhenge aur khujli kam ho jayegi. Tea tree oil aur coconut oil bhi aapko khujli mein aaram dene mein madad kar sakte hain, lekin unhein paani mein mix karein aur aapke scalp par lagayein, nahin ki aapko sirf oil lagane do.","Arre beta, main aapko yeh batata hoon ki aapke symptoms prurigo nodularis kehlathe hain, jo ki ek dermatological condition hai. Aapke symptoms scalp, extensor side of the extremities, aur trunk par hain. Aapke itchy NRS score 2 points hai, jo ki aapko din mein thoda itchy lagta hai aur raat mein thoda itchy lagta hai, jo ki scratching karne ki zaroorat nahi padti hai. 

Main aapko yeh bhi batata hoon ki aapke blood IgE level 365 IU/mL hai, jo ki normal range se adhik hai. Iska matlab hai ki aapke immune system mein kuch problem ho sakti hai. 

Aapke symptoms ke liye, main aapko yeh nahi batata hoon ki tea tree oil, coconut oil, ya koi aur oil aapke symptoms mein aaram dega. Iske liye, aapko dermatologist se consult karna hoga.",0.3333333333333333,1.0,0.6666666666666666,0.0,0.6666666666666667,0.6666666666666666
P00953,foot_swelling,0.5366,high,"Bete ka case bahut hi common hai. Jab koi insect ya bee pair par kaat leti hai, toh uske baad swelling ho sakta hai. Ye swelling aam taur par 2-3 din mein hi theek ho jata hai, lekin agar swelling bahut jyada ho raha ho ya uska size badh raha ho, toh medical attention lena zaroori hai.

Aapko doctor se milkar padhna chahiye. Doctor ko check karne ke baad, agar swelling theek se theek ho raha hai toh aapko symptoms ke liye treatment diya jayega.","Bete ko bee sting pehle se hi hua tha, aur ab uska pair sujha hua hai. Ye possible hai ki bee sting se kidney ko nuksaan ho gaya hai, jisse nephrotic syndrome ho gaya hai. Nephrotic syndrome ke symptoms, jaise ki generalized edema, decreased urine output, facial swelling, abdominal distension, hain. 

Haan, extended swelling common hai nephrotic syndrome ke patients mein. Aapko medical attention lena chahiye, kyunki symptoms severe hain. Treatment sirf symptoms ke liye hi nahi hogi, balki kidney ko nuksaan se bachane ke liye bhi hogi.",1.0,1.0,0.0,0.0,0.0,0.0
P00954,neck_swelling,0.4286,medium,"Bhai, aapke symptoms bahut chintit kar rahe hain. Aapka sujan aur dard right side ke peeche, joints mein, aur ab gardan aur kandhe mein, yeh sab symptoms kuchh serious ho sakte hain. Lymph nodes ke sujan ka karan kai ho sakte hain, jaise ki infection, allergy ya koi bhi disease. Acyclovir shingles ke liye liya hai, lekin aapke symptoms bahut vishal hain, isliye humein kuchh aur investigate karna hoga. Aapka raat mein bukhar aane laga hai, yeh bhi ek chintit baat hai. Humein aapka blood work aur kuchh aur tests karne honge, lekin aapko thoda relax rakhna hai aur humein aapke symptoms ko dekhna hai.","Arre bhai, maine dekha hai ki tumhara parotid duct laceration hai, aur yeh left malar region mein hai. Tumhara facial nerve intact hai, lekin parotid duct injured hai. Iske liye hamne operation ki hai aur silicon tube ko parotid duct mein daal diya hai.",0.0,1.0,1.0,0.0,1.0,1.0
P00955,knee_swelling,0.412,medium,"Arre bhai, maine suna hai aapko Vancouver Island ke jangalon mein neemboo se kaata tha aur ab aapko kai lakshan hain. Maine dekha hai aapko thakaana, bukhar, sar dard, gardan sakht, aur knee suj hai. Ye sab Lyme disease ke lakshan ho sakte hain, lekin humein kuch aur bhi test karna hoga. Maine aapko ek rashtraayak doctor se milne ki salah di hai, woh aapko pehli nazar mein dekhega aur phir aapko test karwaayega.","Bhai, maine dekha hai ki aapke paas intrasacral meningocele hai, jo aapke lower limbs mein pain aur muscle weakness ka karan hai. Aapke MRI spine mein iska nishkarsh nikla hai. Aapke clinical examination mein koi neurological abnormality ya arthritis nahin hai. Aapke power grade 4/5 hai, aur deep tendon reflexes normal hain. Maine koi saakshya nahin dekha jo Lyme disease ke lakshan se match karta hai. Aapko Vitamin D ke liye treatment diya gaya hai, aur aapke symptoms mein improvement dikh raha hai.",0.0,1.0,1.0,0.0,1.0,1.0
P00956,neck_swelling,0.524,high,"Bhai, aapki baat suni. Ek laal chikna patch aur lymph nodes mein sujan, yeh symptoms bahut hi ghatiya hain. Aapko antibiotics lekar 5 din pehle is patch ke liye koi treatment nahi kiya gaya hai, toh iska koi connection nahi hai. Lekin aapko itching aur uper ki parat khujlane shuru hone ke baad, isme koi infection ho sakti hai. Main aapko doctor ke paas jana sujhata hoon, woh aapki check-up karega aur aapko sahi treatment diya jayega.","Bhai, aapke symptoms aur clinical signs ke anusar, aapke paas ek solitary fibrous tumor of the parotid gland hai, jo 5 saal se aapke kanon mein slow growing aur painless pretragal swelling ke roop mein dikhai deta hai. Aapke paas koi facial paralysis ya cervical lymph node enlargement nahi hai. Aapke paas itching aur parat khujlane ki shikayatein hain, lekin iske liye aapke paas koi clinical evidence nahi hai. Aapke doctor se milne ke liye koi zaroorat nahi hai, lekin aapko apne symptoms aur clinical signs ke baare mein apne doctor se baat karni chahiye.",0.3333333333333333,0.8,0.6666666666666666,0.2,0.4666666666666667,0.4666666666666666
