item_id,patient_question,answer_text,extractor_concepts,wrong_concepts,missed_concepts,appropriateness,_hidden_arm,_hidden_pair_id,_hidden_tertile
A027,"Mere naak par Daktarin cream ka upyog karke ek fungi sankraman ho gaya hai. Twacha bahut khujli aur jalan ke saath bilkul itch karne lagi hai. Please doctor, is vartaman sthiti ko dekhiye neeche. Mere GP ne Daktarin fir se prescribe kiya. Daad felne lag gaya hai aur bad me pila crusty scale ban gaya hai. Main wapas GP ke paas gaya aur woh alag se Penicillin prescribe kiya hai. Swab liya gaya. Parinam negative nikala!! Pehla course of penicillin 2 din me complete ho jayega. Dusra 6 dino me. Wahi beech mein GP ne vaada kiya hai ki dermatologist ko mere last visit ke 24 ghante pehle ek letter fax karega.","Bhai, maine dekha hai ki tumhare paas fever, escharotic aur purpuric skin lesions hain. Tumhare blood test mein platelet count bahut kam hai, 19 x 10^9/L, jo ek serious condition hai. Iske alawa, tumhare CT scan mein cerebral infarction, lung infection, pleurisy, aur pericardial effusion dikhayi diya gaya hai. 

Maine kaha hai ki tumhare GP ne aapko Daktarin aur Penicillin diya hai, lekin swab ka parinam negative nikala hai. Main is baat ka nahi janta ki aapke paas fungi sankraman hai ya nahin, lekin aapke symptoms aur lab test ka parinam dekhkar, main kahaunga ki aapko dermatologist se zaroori hai.","effusion, fever, infection, lesion",,,,grounded,P00881,low
A028,"Meri 9 saal ki beti ke arm, legs aur feet ke tops mein use lagta hai jaise koi use poke kar raha ho. Usko lagta hai ki uske kapdo mein kuch hai jo use poke kar raha hai, lekin jab wo apne kapde check karti hai toh waha kuch nahi hota...aur ye use kai jagah par hota hai. Wo kehti hai ki ye aata jata hai aur ye dard se zyada pareshani wala hai. Maine uski skin check ki hai aur waha koi bhi gaanthen ya irritation ki koi nishani nahi hai. Use haal hi mein Celiac Disease ka diagnosis hua hai, aur mujhe kuch idea nahi hai ki iska koi taaluka hai ya nahi, lekin socha ki mention karu. Mujhe nahi pata ki mujhe iske baare mein chinta karni chahiye ya shayad ye bas sukhhi twacha ya kuch aur ho. Please doctor, vartaman sthithi ko dekhe.","Beta, aapki beti ki samasya bahut ghatiya hai. Ye symptoms Celiac Disease ke karan ho sakte hain, lekin ismein koi nishani nahi hai. Main sochta hoon ki ye symptoms ek type ki skin condition, jaise ki Dermatitis Herpetiformis ho sakte hain, jo Celiac Disease ke karan hota hai. Main aapko ek dermatologist ke paas bhejna chahta hoon jisse aapki beti ki skin check ki ja sake aur sahi treatment diya ja sake.",dermatitis,,,,zero_shot,P00184,high
A029,"Hello doctor, meri behen ke skin par kuch ajeeb sa rashes hai. Kripya dekhein is vartaman condition ko neeche. The problem panch saal pehle shuru hui. Lekin ab ye badh rahi hai. Hum samajh nahi pa rah","Behen ji ke skin par rashes dekhne ke liye maine abhi picture nahi dekhi, lekin aapko pata hai ki rashes ke kaafi saare reasons ho sakte hain, jaise ki allergy, infection ya koi bhi skin condition. Panch saal pehle shuru hone wale rashes ko dekhkar lagta hai ki ye koi chronic condition ho sakti hai, jaise ki eczema ya psoriasis. Aap mujhe picture upload karke dikhayein, toh main aapko thoda aur guide kar sakta hoon.","allergy, dermatitis, infection, rash",,,,zero_shot,P03002,low
A030,"Main apni mesh repaired hernia surgery se 3 hafte peeche hu.. aaj mere right side mein bahut tez dard hua hai, joh mere pet ke neeche tak aur mere belly button tak tha. Uske alawa meri hatho mein khujli ho rahi hai, doctor iske liye waale image neeche attached hai, aur mere haath aur paon mein sujan bhi hai. Aaj maine apne sir ke right side par phoola hua ganth wala swollen lymph node bhi paya.. kya ye ek reaction ho sakta hai.","Arre bhai, aapka dard aur khujli hatho mein bahut common symptoms hain mesh repair surgery ke baad. Lekin, aapke swollen lymph node aur sujan haath aur paon ke liye, main chinta lagta hoon. Yeh symptoms kuchh reaction ya infection ke liye ho sakte hain, jaise ki mesh repair surgery ke baad infection ya mesh failure. Main aapko doctor se milne ke liye kahaunga, woh aapka check-up karke sahi tareeke se treatment karwa sakte hain.","infection, lymphadenopathy, swelling",,,,zero_shot,P01528,medium
A031,"HI, Mera naam lisa hai, kuch saalo se mujhe baar-baar wahi rash right breast par ho raha hai, aur ye saal me 3 baar wapas aata hai. Mera doctor kehta hai ki ye fungal skin ki problem hai, lekin ye bahut itching aur redness ho rahi hai. Ye right breast par hai. Mujhe madad chahiye, har saal mujhe ye hota hai. Uska image attached hai neeche.","Arre Lisa, main tumhein sun raha hoon. Tumhare case mein, tumhare scalp par ek hairless, yellowish plaque tha, jismein kuch saalo ke baad ek red nodule aaya. Biopsy ke baad, iska diagnosis eccrine poroma (ek type of skin cancer) neevus sebaceous (ek type of birthmark) ke andar nikala gaya. 

Main tumhare breast ki problem ke baare mein kuch nahin bol sakta, kyunki clinical evidence mein yeh case tumhare breast ke baare mein nahin hai.","erythema, lesion, malignancy",,,,grounded,P02255,medium
A032,"Mere paas sirf 6 din pehle hi ek baby hua hai. Mai pehle 3 dino tak theek thi hospital me, lekin jab mai ghar aayi toh mujhe sujan hone lagi. Ab meri ankho me hi sujan hai lekin chest me discomfort ho raha hai. Please doctor, dekhiye is affected area ki image neeche. Meri saanso me kuch chubh raha hai aur saans lene me uncomfortable feel ho raha hai. Maine BP check karne ka decide kiya aur vo 137/77 hai aur dil ki dhadkan 45 hai. Normally toh mera BP 90/60 rehta hai, ab mai kya karu?","Arre beta, tumhara condition kuchh samajh mein aaya hai. Tumhara chest discomfort aur saans lene me discomfort kaafi ghatiya hai. Aapki BP aur dil ki dhadkan kaam hai, lekin aapko abhi bhi doctor se milne ki zaroorat hai. Main aapko ek chest X-ray aur ECG karane ke liye kahaunga, aur phir doctor saab se milke aapki treatment plan banayenge.",(none),,,,zero_shot,P00477,low
A033,"Namaste, pichle ek hafte se mere right thumb ke neeche ek chota sa ganth hai, jab main apna thumb apne gaal par rakhti hoon to wo dusre thumb se zyada garam lagta hai. Main right handed hoon, isliye jab ye mera right haath par hota hai to kuch pakadna ya knife se kaatna etc. mushkil ho jata hai. Doctor, uski image attach ki gayi hai niche. Mujhe bas ye pata karna tha ki ye kya ho sakta hai, ganth to badi nahi hai lekin bahut dard hota hai, lekin aap use dekhne se kuch nahi dikhta hai, bas touch karna padta hai jo bahut dard karta hai.","Namaste, beta. Aapka thumb ke neeche ka ganth kya ho sakta hai, yeh dekhne mein aapka doctor hi sahi ho sakta hai. Lekin aapka case dekhkar, yeh sambhav hai ki aapka thumb ke neeche ka ganth aapke haath ke neeche ke blood supply ke karan ho sakta hai. Aapke haath ke neeche ke blood supply mein kuch problem ho sakti hai, jisse aapko dard hota hai. Ismein aapka doctor hi sahi diagnosis kar sakta hai.",(none),,,,grounded,P01520,medium
A034,"Hi dr. Samuel mujhe kuch samay se mere skin ke problems ho rahe hain, mujhe chinta ho rahi hai kyunki ye din ba din badh rahi hai. Mere arms and neck par prickly heat type ki problem hoti hai, mere be","Aapki skin ki problems sunke lagta hai ki aapko kuch allergies ya skin conditions ho sakti hain. Prickly heat arms and neck par hota hai, toh shayad aapko heat rash ya miliaria ho sakta hai, aur belly, thighs, aur legs par eczema jaisa rash ho sakta hai, jo ki itching karta hai. Thigh par protruding sore lump ka pata lagaane ke liye hume aur details chahiye, lekin shayad ye koi boil ya abscess ho sakta hai, ya phir koi aur skin condition. Aapko doctor se milna chahiye, jo aapki skin ko check karke sahi diagnosis aur treatment de sakta hai.","dermatitis, infection, mass, pruritus, rash",,,,zero_shot,P01384,medium
A035,"Mai hamare ghar ke ek hisse par kaam kar raha tha aur uss hisse mein heating nahi hai aur temperature 50 degrees tak pahuncha hai, doosre din wahan kaam karne ke baad mai bahut thande ho gaya tha aur ","Aapke skin condition ke baare mein humne padha hai, lekin aapke abhi ke symptoms ke liye hum kuchh specific nahi keh sakte kyunki clinical evidence mein aapke abhi ke situation ke baare mein kuchh nahi hai. Aapke pass pehle se hi erythrodermia congenitalis ichthyosiformis bullosa of Brocq hai, jiske liye aapko specific treatment diya gaya tha, lekin abhi ke burning sensation aur reddish skin ke liye hum kuchh nahi keh sakte. Aapko apne doctor se milna chahiye jo aapke abhi ke symptoms ko dekhkar kuchh specific advice de sakte hain.",(none),,,,grounded,P02425,high
A036,"Main pichle 4 din se bimar hoon aur jab main doctor ke paas gaya toh unhone mere urine me khoon paya. Unho ne CBC blood test kiya aur result accha aaya. Mere peeche aur side bahut dard ho raha hai aur main bahut kamzor hu. Jab main peshaab karta hoon, woh acchi tarah se nahi aata hai. Pichle 4 din se yeh takleef ho rahi hai, lekin isse pehle meri peshaab acchi tarah se nahi hui thi aur maine iss cheez ko apne par blame kiya kyun ki main CNA hoon aur mujhe jaane ka waqt nahi hota aur waise hi November ke last year me mujhe ek rash ho gaya tha. Kripya doctor, dekhiye is vartaman condition ko. Tab wohne mujhe allergies ki dawa lene ko kaha tha aur tab mere peeche aur side dard ho raha tha, lekin wohne kaha tha ki yeh gas hai. Mujhe yeh poochhna hai ki kya yeh sab kidney ya heart failure ke lakshan ho sakte hain. Aur mujhe lagbhag 3 saal se suboxone lena hai. Dhanyavaad.","Bhai, main aapko samajhne ki koshish karta hoon. Aapke peeche aur side mein dard aur peshaab ki samasya bahut chinta dene wali hai. Ye symptoms kidney failure ya heart failure ke lakshan ho sakte hain, lekin isse pehle humein kuch aur cheezon ko consider karna hoga. Aapke peeche aur side mein dard gas ke liye bhi ho sakta hai, lekin aapke peeche aur side mein dard aur peshaab ki samasya ko ignore nahin karna chahiye. Humein aapke CBC blood test ka result aur aapke symptoms ko dekhte hue aapke doctor se baat karne ki zaroorat hai.",(none),,,,zero_shot,P01119,high
A037,"Mere left neck ke karib 2 inch neeche aur ear se dusre inch ke baad mere neck ke piche ek bada ganth hai. Doctor kripya dekhein patient ke image neeche...mere neck mein kuch samasya hai. last year car accident hua tha aur mujhe uske baad hi iska pata chala...jyadatar doctors isse jyada tension nahi lete hain, lekin mujhe pata lagana hai ki ye kya hai....ab mujhe dard hota hai jo kabhi kabhi mere body mein ghumta hai, kabhi mere ankles ya elbows ya feet ya hands ya knees mein...kripya madad kariye ; ;","Bilkul, main dekh raha hoon. Aapka left parotid lodge mein ek 2 cm x 2 cm ki mass thi, jiska MRI examination mein 14.8 mm lesion dikhaaya gaya tha. Iska diagnosis SmCC (Small Cell Carcinoma) kiya gaya tha. SmCC ek neuroendocrine tumor hai, jiska treatment parotidectomy (parotid gland ka operation) aur chemotherapy aur radiation therapy se kiya gaya tha. Aapke 48-month follow-up mein koi recurrence nahin dikhai di gayi. 

Aapke neck mein dard hona aur kuch samasya hona, yeh SmCC se sambandhit nahin hai. Lekin, aapka car accident aur uske baad SmCC ka pata chalna, yeh dono alag-alag cheezein hain. Main aapko yeh nahin keh sakta ki aapka car accident SmCC se related hai.","lesion, malignancy, mass",,,,grounded,P01360,medium
A038,"Namaste doctor, mera 8 mahine ka beta 2 mahine ke lagbhag se eczema se pareshan hai. Shayad ye allergies ki wajah se hai. Humne bahut kuch try kiya hai uski pareshani ka karan khojne ke liye, lekin ise lambe samay tak dur nahi kar paye. Mere pramukh chinta ka karan ye hai ki past few months se uski digestion me samasya hai. Wo bahut aasani se kabz ho jata hai aur use aise cheezein khani padti hai jisse wo uncomfortable na ho. Usne is tak sirf breastfeeding ki hai, lekin haal hi mein usne khud hi chhod diya hai. Wo solids bahut khata hai aur diluted juice peeta hai. Mai use dairy products nahi deti kyunki usko formula se pehle hi kharab reaction hua tha. Jab use yogurt try karwaya to uske honthon me sujan aayi. Kripya doctor, is vartaman sthiti ko dekhein. Wo sirf 13 pounds ka hai 8 mahine me, jo bahut kam hai. Wo achhe se khata hai, lekin phir bhi itna chhota hai. Wo crawling ya scooting nahi karta hai; wo akela baith sakta hai aur sabkuch dekhta hai. Wo aam se jyada sota hai. Wo jyadatar samay mai hi pakda jana chahta hai. Wo aapki baat sunta hai aur aapko dhyan se dekhta hai; wo cheezein pakad sakta hai aur use ek haath se dusre haath me le sakta hai. Wo apne pacifier ko khud hi muh me dal sakta hai aur use cheezein purposefully giraana pasand karta hai. Wo jyada babble nahi karta aur meri ummeed ke mutabik jyada khel bhi nahi sakta.","Beta, maine aapki baat suni hai. Lekin maine aapke beta ke symptoms aur medical evidence ke beech me koi saman nahi dekha. Aapke beta ka case TTP (Thrombotic Thrombocytopenic Purpura) ka hai, jo ek rare blood disorder hai. Ismein platelet count kam hota hai aur blood clots banate hain. Aapke beta ka platelet count 120 x 10^9/L hai, jo normal se kam hai. Iske alawa, unke blood me schistocytes aur spherocytes bhi pade hain. Aapke beta ko plasma exchange therapy aur medication di gayi hai. Main aapke beta ke symptoms aur medical evidence ke beech me koi saman nahi dekha, jisse main koi suchna nahi kar sakta.",(none),,,,grounded,P02592,high
A039,Mere dono anguthe sukh gaye hain aur unki skin bahut patli hai aur agar kuch bhi unpar touch karta hai toh dard hota hai. Meri umar 71 hai aur mera vajan 85 kg hai. Main haal hi mein halki chemotherapy se guzar raha hoon aur rectal cancer ka ilaj karane ke liye lagatar radiation bhi kar raha hoon. Iske liye attached image dekhein.,"Arre bhai, aapke symptoms bahut ghatiya hain. Aapka angootha sukh gaya hai, skin patli hai aur dard hota hai, yeh cancer ke side effects ke liye kuch bhi nahi hai. Aapka chemotherapy aur radiation therapy ke liye aapko hamesha ek doctor ki nazar mein rakhna chahiye, vah aapko koi bhi side effect ke liye tayar karenge. Aapko apne doctor se zaroor milna chahiye aur unse kuchh guidance leni chahiye.",(none),,,,zero_shot,P01778,high
A040,"Mere thighs, lower abdomen aur even mere hands pe kuch itching wale bites hai (mujhe lagta hai ye bites hain). Mera main concern hai mere scrotum pe wale abnormality aur mere shaft pe ek bhi. Jab maine pehle apne doctor ko dikhaya tha, tab unhone hpv aur herpes ko ruled out kar diya tha. Lekin uske baad se aur bhi zyada bites appear ho gaye hain, pehle wale chote ho gaye hain lekin irritation hone par abhi bhi itch karte hain. Lumps itch nahi karte hai jab tak main unhe scratch na karu, aur do unmein se ek cm ka diameter hai aur dusre do ab irregular shape aur shayad unka size bhi half ho gaya hai aur mere shaft pe wala ek chota pimple jaisa lag raha hai. Mere foreskin mein bhi itching ki sensation hai, lekin itna itchy nahi hai ki mujhe scratch karna pade. Attached image uska neeche hai.","Beta, aapke symptoms aur previous diagnosis ke anusaar, aapke paas bullous mastocytosis hai. Aapke thighs, lower abdomen, aur hands pe itching wale bites ho sakte hain, lekin ye mastocytosis ke karan ho sakte hain. Aapke scrotum aur shaft pe abnormality ho sakti hai, lekin ye bhi mastocytosis ke karan ho sakti hai. Aapko apne doctor se baat karni chahiye aur unse cetirizine aur mometasone ka upyog karne ke liye seekhna chahiye.",pruritus,,,,grounded,P01647,low
A041,"Namaste. Mai Philippines se hoon. Ek hafte se mere lymph nodes suj gaye hain. Paanch din pehle, crank sores mere munh ke andar shuru ho gaye. Mere zubaan ke neeche ek hai, aur doosre masudo mein pus lag raha hai. Mere upper aur lower masudo par bhi pus hai. Meri zubaan dard karne lagi hai. Mere dentist ne mujhe amoxicillin 500 3 times a day aur vitamin C lene ko kaha..usne Pyralvex solution bhi recommend kiya. Mai bhi Bactidol se kulla kar raha hoon. Ek hafte se mujhe achha nahi lag raha hai. Mai almost kuch nahi kha raha hoon kyunki nigalna aur katna dard ho raha hai. Kripya madad kijiye. Kripya image dekhein jo doctor ne neeche attach ki hai.","Namaste beta. Main aapki baat sun raha hoon. Aapke symptoms ke liye main kuchh cheezein dekh raha hoon. Aapka goiter bahut bada hai aur aapke lymph nodes bhi suj gaye hain. Aapke munh ke andar crank sores ho gaye hain aur aapke masudo par pus hai. Aapki zubaan dard kar rahi hai. 

Main aapko batana chahta hoon ki aapka CT scan ne pata lagaya hai ki aapke goiter bahut bada hai aur isse aapke airway mein narrowing ho raha hai. Isliye aapko urgent surgery ki zaroorat hai. Aapke doctor ne aapko amoxicillin aur vitamin C lene ki salah di hai, lekin main aapko batana chahta hoon ki aapko urgent surgery ki zaroorat hai.",lymphadenopathy,,,,grounded,P00774,medium
A042,"Bacche ke saath galti se ghul mar di hai ye bhaiya chotu bhi kisi se kam nahi. Pehle picnic ke liye jald se tayar ho rahi hai, lekin iski tabiyat day by day bigad rahi hai. Pichle do teen saal se yahi masla hai light, plants aur pollution se ghabra jata hai bahut quickly. Doctor se milkar hi aaram milega isko. Ped ke saath ek bar zaroor jaiye checkup ke liye.","Beta, tumhare AD ki wajah se tumhari skin bahut problem mein hai. Ye WMT treatment tumhe kuchh fayda kar sakta hai. Tumhare parivaar ke kuchh logon mein bhi skin problems ki wajah se AD ki sambandhit history hai. 

Note: I have kept the response concise and in Hinglish as per your request.",(none),,,,grounded,P01291,medium
A043,"Mere thighs, lower abdomen aur even mere hands pe kuch itching wale bites hai (mujhe lagta hai ye bites hain). Mera main concern hai mere scrotum pe wale abnormality aur mere shaft pe ek bhi. Jab maine pehle apne doctor ko dikhaya tha, tab unhone hpv aur herpes ko ruled out kar diya tha. Lekin uske baad se aur bhi zyada bites appear ho gaye hain, pehle wale chote ho gaye hain lekin irritation hone par abhi bhi itch karte hain. Lumps itch nahi karte hai jab tak main unhe scratch na karu, aur do unmein se ek cm ka diameter hai aur dusre do ab irregular shape aur shayad unka size bhi half ho gaya hai aur mere shaft pe wala ek chota pimple jaisa lag raha hai. Mere foreskin mein bhi itching ki sensation hai, lekin itna itchy nahi hai ki mujhe scratch karna pade. Attached image uska neeche hai.","Arre bhai, main samajh sakta hoon ki tum bahut parmeshan ho. Ye bites aur lumps aapke paas hain, lekin ye koi bhi bimari nahi hai. Aapko lagta hai ki ye kuch infection ho gaye hain, lekin main aapko ye batana chahta hoon ki ye symptoms HPV aur herpes se bhi alag hain. Aapko lagta hai ki ye kuch fungal infection ho sakte hain, jaise ki ringworm ya jock itch. Main aapko koi treatment ya medicine nahi de sakta, lekin main aapko doctor se milne ki salah deta hoon.","fungal, infection, pruritus, viral",,,,zero_shot,P01647,low
A044,"Meri poti ko chicken pox ka vaccine laga chuka hai lekin usko March ke shuruwat mein hi chicken pox ho gaya. Usne doctor ke paas jaake confirm karaya ki chicken pox hai aur usne iske liye anitiboitc liya. Rash kabhi blister nahi ban raha hai aur abhi bhi uske paas rash hai aur itch bhi ho rahi hai. Kripya doctor, dekhiye is vartaman condition ko. Kya ye normal hai? Aur use kaise madad kar sakte hain?","Bilkul, main dekh raha hoon. Patient ke symptoms aur clinical evidence ke anusar, ye nahi dikhta ki ye chicken pox hai. Patient ke rash ne blister nahi banaya aur itch bhi ho rahi hai, jisse ye suspect ho sakta hai ki ye ek bacterial infection hai. Patient ke symptoms aur lab reports ke anusar, ye pre-septal cellulitis aur acute dacryocystitis hai. 

Main aapko kahaunga ki patient ke vartaman condition kaafi ghatiya hai aur use urgent medical attention ki zaroorat hai.","bacterial, infection, inflammation, pruritus",,,,grounded,P00154,medium
A045,"Mere tonsils ke taraf yellow spots hain. Meri gale laal hai aur nigalne mein dard hota hai. Please doctor, neeche image dekhe jisse affected area hai.Advil pain ko mostly kam kar deta hai, but mere paas kabhi strep nahi hua hai, aur ulcers mostly mere uvula par hai.Mujhe koi fever nahi hai. Maine inhaler use kiya hai, but mai apna mouth rinse karti hoon aur mujhe kabhi thrush nahi hua hai. Mai kal PACU mein kaam kar rahi hoon aur kisi ko bhi infect nahi karna chahti. Mujhe kuch hafto se sardi hai aur mene months pehle flu shot bhi liya tha. Mujhe antibiotics nahi chahiye aur main iska wait karne ke liye khush hoon, jaise ki jyadatar nurses ko jaane ka time nahi hota hai unless absolutely necessary.","Arre beta, tumhare symptoms bahut hi interesting hain. Yellow spots aur laal gale ke saath nigalne mein dard, yeh strep throat ka nishan nahi hai kyunki tumne kaha hai ki tumhe strep nahi hua hai. Uvula par ulcers aur sardi ke baad aane wali symptoms, yeh throat infection ka karan ho sakta hai, lekin antibiotics ki zaroorat nahi hai. Main tumhe ek throat specialist ke paas jaane ke liye kahu, woh tumhare symptoms ko dekhkar sahi tareeke se treatment kar sakte hain.",infection,,,,zero_shot,P00787,medium
A046,"Bacche ke saath galti se ghul mar di hai ye bhaiya chotu bhi kisi se kam nahi. Pehle picnic ke liye jald se tayar ho rahi hai, lekin iski tabiyat day by day bigad rahi hai. Pichle do teen saal se yahi masla hai light, plants aur pollution se ghabra jata hai bahut quickly. Doctor se milkar hi aaram milega isko. Ped ke saath ek bar zaroor jaiye checkup ke liye.","Bhaiya, aapke bachche ke symptoms bahut samajh mein aate hain. Ye sambhav hai ki unke paas anxiety ya stress disorder ho, jo ki light, plants aur pollution se uth sakta hai. Hum unke liye ek plan banayenge aur unhe relaxation techniques bhi seekhne ke liye madad karenge. Aapke doctor se milkar hi aaram milega isko.",(none),,,,zero_shot,P01291,medium
A047,"AI feel choked up in the neck area, and have a hard time swallowing liquid. Sometimes the sensation goes away for a day, but returns and gets worse as the day goes along. My neck makes a noise similar to a hungry stomach. Along with this, which started about 2 years ago, I came down with chronic hives, so I assumed it was hives causing my throat to swell because I ve had my feet and knees also swell up.Please doctor see the current condition below . Also, I ve found that I can t seem to get enough sleep. I force myself up on workdays, however, on days off I will sleep until noon or 1 pm, and even then, it s difficult to get out of bed. I also have been losing quite a bit of hair, and have itchy welts throughout my scalp...HELP!!!

Maine feel kiya ki mere gale ke area me choked up hai aur liquid nigalne me mushkil ho rahi hai. Kabhi-kabhi ye ahsaas ek din ke liye chala jata hai, lekin wapas aata hai aur din bhar badhta hai. Mere gale se awaz aati hai jo ek bhooke pet ki awaz ke jaisi hoti hai. Iske saath, jiska shuru hone mein lagbhag 2 saal ho gaye, mujhe chronic hives bhi ho gayi, isliye maine ye samjha ki mujhe hives ke karan gale suj gya hai kyunki mere paanv aur ghutne bhi suj gaye hai. Please doctor dekhiye is vartaman condition ko below. Aur maine ye bhi paya hai ki mujhe nei sona nahi ho raha hai. Workdays mein main khudko uthata hoon, lekin chhuttiyo mein main dopehar ya 1 baje tak sota hoon aur uske baad bhi bed se uthna mushkil hai. Mere balon kaafi jyada gir rahe hai aur mere scalp par itching ho rahi hai...HELP!!!","Bhai, aapke symptoms bahut hi ghatiya hain. Aapke gale ke area mein choked up hona, liquid nigalne mein mushkil, aur gale se awaz aana, yeh sab symptoms food borne botulism ke liye indicative hain, jismein aapne stale food ki wajah se symptoms shuru huye hain. Aapke symptoms ke saath, aapke hives aur balon ka girna bhi is disease ke symptoms hain. 

Lekin, main aapko yeh bhi batana chahta hoon ki aapke symptoms ke saath, aapke sleep disorder aur itching scalp ke symptoms bhi hain, jo ki is disease ke symptoms nahi hain. Aapke symptoms ke liye humein aur test karna hoga, jaise ki stool culture, aur aapke symptoms ke liye humein doctor se baat karni hogi.",pruritus,,,,grounded,P01013,low
A048,"Mere left neck ke karib 2 inch neeche aur ear se dusre inch ke baad mere neck ke piche ek bada ganth hai. Doctor kripya dekhein patient ke image neeche...mere neck mein kuch samasya hai. last year car accident hua tha aur mujhe uske baad hi iska pata chala...jyadatar doctors isse jyada tension nahi lete hain, lekin mujhe pata lagana hai ki ye kya hai....ab mujhe dard hota hai jo kabhi kabhi mere body mein ghumta hai, kabhi mere ankles ya elbows ya feet ya hands ya knees mein...kripya madad kariye ; ;","Arre bhai, main tumhein sun raha hoon. Tumhare neck ke piche ek ganth hai, aur tumhein dard hota hai jo aapke body ke kai jagahon mein ghumta hai. Yeh symptoms car accident ke baad aane ke liye bahut sambhav hai. Main sochta hoon ki tumhare paas spinal cord injury ho sakta hai, jisse tumhein is tarah ka dard hota hai. Hum iske liye doctor se baat karenge aur test karke pata karenge ki kya hai.",(none),,,,zero_shot,P01360,medium
A049,"Mujhe 38 saal ki umar hai. Mere pas hep c genotype3a hai. Liver enzymes elevated hai. Bilirubin, albumin aur INR normal hai. USG mildly coarse liver suggest karta hai. Maine peg ifn n ribavarin ka six months course liya. Viral load 4 weeks ke baad five logs decrease hua hai lekin treatment ka end hone par wo negative nahi hai. Ab treatment khatam hone ke do mahine baad mujhe pedal ho rahi hai. Please doctor, dekhiye is halat ko. Kripya suggest karen.","Beta, aapke symptoms bahut hi ghatiya hain. Pedal ho rahi hai, yeh liver ki jaamne ki wajah se ho sakta hai. Aapne PEG IFN aur ribavarin ka course liya tha, lekin viral load kam nahi hua hai. Aapko liver specialist se milne ki zaroorat hai, woh aapko aur test karke diagnosis kar sakte hain aur treatment suggest kar sakte hain.",(none),,,,zero_shot,P01202,low
A050,"Meri beti ko ek rash hai jo theek nahi ho raha hai. Hydrocortisone cream help nahi karti. Pehle humne socha ki ye soap se contact dermatitis hai, lekin uska koi bhi karan nahi hai. Uski image attached","Aapki beti ki rash ke liye hum koi specific karan nahi bata sakte kyunki humare paas uske bare mein koi information nahi hai. Lekin hum yeh keh sakte hain ki scabies ek aam parasitic infection hai jo intense pruritus aur papulovesicular eruption ka karan ban sakta hai. Aapki beti ki rash ke liye doctor ne pancreatic cancer ke liye blood test karne ki salah di hai, lekin hum yeh confirm nahi kar sakte ki rash aur pancreatic cancer ke beech koi connection hai ya nahi. Aapko apne doctor se baat karni chahiye aur unke salah par chalna chahiye.","infection, malignancy, pruritus, rash",,,,grounded,P01973,medium
A051,"Mujhe kuch samay se gale ka ek prakar ka undiagnosed infection hai jise maine thoda samay ke liye ignore kar diya tha.Shuru mein mere tonsils suj gaye the. Lekin kuch samay ke bina kisi ilaj ke, mere gale ka infection mere muh aur masudon tak pahunch gaya hai. Mere muh ka rang pila ho gaya hai aur patle spider web veins mere gale ke agle hisse ko cover kar rahe hain. Please doctor, neeche diye gaye muh ko dekhein. Aur mere muh ke chhat ko yellow pigment hai. Mujhe haal mein antibiotics likhe gaye the, lekin unse koi madad nahi hui. Mujhe kuch kaano mein dard bhi ho raha hai. Main bahut pareshan hoon. Mere masude bhi piley ho gaye hain aur ab unmein sensitivity hai.","Arre bhai, main dekh raha hoon. Aapke case mein, root canal treatment karne ke liye aapke general dentist ne aapko refer kiya tha, lekin aapke gale ka infection aapne ignore kar diya tha. Ab aapka infection aapke muh aur masude tak pahunch gaya hai. Mere paas clinical evidence hai ki aapke muh ka rang pila ho gaya hai aur patle spider web veins aapke gale ke agle hisse ko cover kar rahe hain. Mere paas koi evidence nahi hai ki aapke infection se koi kaan mein dard ho raha hai.",infection,,,,grounded,P00252,high
A052,"Mera ek hafta se benzoyl peroxide istemal kar raha hoon, meri skin oily se bahut dry ho gayi hai. Mere honthon ke neeche bahut dry aur patchy hai, aur naak ke kinare bhi. Iska reason benzoyl peroxide ya phir kyunki bahar thand ho rahi hai?","Bhai, main aapko kuchh bata sakta hoon. Aapki skin dry ho gayi hai, iska karan benzoyl peroxide istemal karne se nahin hai, kyunki aapke clinical evidence mein koi jikr nahin hai benzoyl peroxide ka. Aapke symptoms dry skin, hair removal diffuse, dry aur patchy skin, iska karan aapke patient history mein mention kiya gaya hai, jismein aapka salla complexion, dry skin, hair removal diffuse, hoarse voice aur hearing loss hai. Yeh symptoms aapke overall health condition se judne ho sakte hain.",(none),,,,grounded,P01837,medium
A053,"Hello doctor, meri behen ke skin par kuch ajeeb sa rashes hai. Kripya dekhein is vartaman condition ko neeche. The problem panch saal pehle shuru hui. Lekin ab ye badh rahi hai. Hum samajh nahi pa rah","Behen ji ka rash dekha hai, toh lagta hai ki ye ek flesh-red plaque hai jo 3.5x2.5 cm size ka hai, aur ye left occipital scalp par hai. Ismein mild pruritus bhi hai, aur ye dhire-dhire badh raha hai. Hum yeh confirm nahi kar sakte ki aapki behen ka rash bhi same hai, lekin clinical evidence ke hisab se, yeh ek EP (eccrine poroma) ya BCC (basal cell carcinoma) ho sakta hai, lekin aapki behen ka rash dekhne ke liye aur details chahiye.","erythema, lesion, malignancy, pruritus, rash",,,,grounded,P03002,low
